,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Leading percentages,Reference,nQua
0,2p6.3s,2S,1/2,2.0,0.0,,                                                    ,L4995,3
1,2p6.3p,2P*,1/2,2.0,4.422431,,                                                    ,,3
2,2p6.3p,2P*,3/2,4.0,4.433784,,                                                    ,,3
3,2p6.4s,2S,1/2,2.0,8.654711,,                                                    ,,4
4,2p6.3d,2D,5/2,6.0,8.863654,,                                                    ,,3
5,2p6.3d,2D,3/2,4.0,8.863762,,                                                    ,,3
6,2p6.4p,2P*,1/2,2.0,9.995544,,                                                    ,,4
7,2p6.4p,2P*,3/2,4.0,9.999328,,                                                    ,,4
8,2p6.5s,2S,1/2,2.0,11.504557,,                                                    ,,5
9,2p6.4d,2D,5/2,6.0,11.569039,,                                                    ,,4
10,2p6.4d,2D,3/2,4.0,11.569103,,                                                    ,,4
11,2p6.4f,2F*,5/2,6.0,11.629672,,                                                    ,,4
12,2p6.4f,2F*,7/2,8.0,11.629687,,                                                    ,,4
13,2p6.5p,2P*,1/2,2.0,12.082895,,                                                    ,,5
14,2p6.5p,2P*,3/2,4.0,12.084606,,                                                    ,,5
15,2p6.6s,2S,1/2,2.0,12.794766,,                                                    ,,6
16,2p6.5d,2D,5/2,6.0,12.822409,,                                                    ,,5
17,2p6.5d,2D,3/2,4.0,12.822446,,                                                    ,,5
18,2p6.5f,2F*,5/2,6.0,12.855904,,                                                    ,,5
19,2p6.5f,2F*,7/2,8.0,12.855912,,                                                    ,,5
20,2p6.5g,2G,7/2,8.0,12.857863,,                                                    ,,5
21,2p6.5g,2G,9/2,10.0,12.857863,,                                                    ,,5
22,2p6.6p,2P*,1/2,2.0,13.095501,,                                                    ,,6
23,2p6.6p,2P*,3/2,4.0,13.096416,,                                                    ,,6
24,2p6.7s,2S,1/2,2.0,13.487538,,                                                    ,,7
25,2p6.6d,2D,5/2,6.0,13.501882,,                                                    ,,6
26,2p6.6d,2D,3/2,4.0,13.501904,,                                                    ,,6
27,2p6.6f,2F*,5/2,6.0,13.522004,,                                                    ,,6
28,2p6.6f,2F*,7/2,8.0,13.522008,,                                                    ,,6
29,2p6.6g,2G,9/2,10.0,13.523211,,                                                    ,,6
30,2p6.6g,2G,7/2,8.0,13.523211,,                                                    ,,6
31,2p6.6h,2H*,9/2,10.0,13.523449,,                                                    ,,6
32,2p6.6h,2H*,11/2,12.0,13.523449,,                                                    ,,6
33,2p6.7p,2P*,1/2,2.0,13.663503,,                                                    ,,7
34,2p6.7p,2P*,3/2,4.0,13.664049,,                                                    ,,7
35,2p6.8s,2S,1/2,2.0,13.902249,,                                                    ,,8
36,2p6.7d,2D,5/2,6.0,13.910661,,                                                    ,,7
37,2p6.7d,2D,3/2,4.0,13.910676,,                                                    ,,7
38,2p6.7f,2F*,7/2,8.0,13.923608,,                                                    ,,7
39,2p6.7f,2F*,5/2,6.0,13.923608,,                                                    ,,7
40,2p6.7g,2G,9/2,10.0,13.924391,,                                                    ,,7
41,2p6.7g,2G,7/2,8.0,13.924391,,                                                    ,,7
42,2p6.7h,2H*,11/2,12.0,13.924549,,                                                    ,,7
43,2p6.7h,2H*,9/2,10.0,13.924549,,                                                    ,,7
44,2p6.7i,2I,9/2 or 11/2 or 13/2,10.0,13.924597,,                                                    ,,7
45,2p6.8p,2P*,1/2,2.0,14.013965,,                                                    ,,8
46,2p6.8p,2P*,3/2,4.0,14.014317,,                                                    ,,8
47,2p6.9s,2S,1/2,2.0,14.170075,,                                                    ,,9
48,2p6.8d,2D,5/2,6.0,14.175446,,                                                    ,,8
49,2p6.8d,2D,3/2,4.0,14.175453,,                                                    ,,8
50,2p6.8f,2F*,7/2,8.0,14.184232,,                                                    ,,8
51,2p6.8f,2F*,5/2,6.0,14.184232,,                                                    ,,8
52,2p6.8g,2G,7/2,8.0,14.184769,,                                                    ,,8
53,2p6.8g,2G,9/2,10.0,14.184769,,                                                    ,,8
54,2p6.8h,2H*,11/2,12.0,14.184876,,                                                    ,,8
55,2p6.8h,2H*,9/2,10.0,14.184876,,                                                    ,,8
56,2p6.8i,2I,9/2 or 11/2 or 13/2,10.0,14.184911,,                                                    ,,8
57,2p6.9p,2P*,1/2,2.0,14.245386,,                                                    ,,9
58,2p6.9p,2P*,3/2,4.0,14.245626,,                                                    ,,9
59,2p6.10s,2S,1/2,2.0,14.353029,,                                                    ,,10
60,2p6.9d,2D,5/2,6.0,14.356675,,                                                    ,,9
61,2p6.9d,2D,3/2,4.0,14.356681,,                                                    ,,9
62,2p6.9f,2F*,7/2,8.0,14.3629,,                                                    ,,9
63,2p6.9f,2F*,5/2,6.0,14.3629,,                                                    ,,9
64,2p6.9g,2G,9/2,10.0,14.363281,,                                                    ,,9
65,2p6.9g,2G,7/2,8.0,14.363281,,                                                    ,,9
66,2p6.9h,2H*,11/2,12.0,14.363356,,                                                    ,,9
67,2p6.9h,2H*,9/2,10.0,14.363356,,                                                    ,,9
68,2p6.9i,2I,9/2 or 11/2 or 13/2,10.0,14.363385,,                                                    ,,9
69,2p6.10p,2P*,1/2,2.0,14.40618,,                                                    ,,10
70,2p6.10p,2P*,3/2,4.0,14.40636,,                                                    ,,10
71,2p6.10d,2D,5/2,6.0,14.486122,,                                                    ,,10
72,2p6.10d,2D,3/2,4.0,14.486125,,                                                    ,,10
73,2p6.10f,2F*,7/2,8.0,14.490684,,                                                    ,,10
74,2p6.10f,2F*,5/2,6.0,14.490684,,                                                    ,,10
75,2p6.10g,2G,9/2,10.0,14.490968,,                                                    ,,10
76,2p6.10g,2G,7/2,8.0,14.490968,,                                                    ,,10
77,2p6.10h,2H*,9/2,10.0,14.49103,,                                                    ,,10
78,2p6.10h,2H*,11/2,12.0,14.49103,,                                                    ,,10
79,2p6.10i,2I,9/2 or 11/2 or 13/2,10.0,14.491041,,                                                    ,,10
80,2p6.11g,2G,9/2,10.0,14.58544,,                                                    ,,11
81,2p6.11g,2G,7/2,8.0,14.58544,,                                                    ,,11
82,2p5.3s2,2P*,3/2,4.0,49.915,,                                                    ,,3
83,2p5.3s2,2P*,1/2,2.0,50.153,,                                                    ,,3
84,2p5.(2P*).3s.3p.(3P*),4S,3/2,4.0,53.1839,,                                                    ,,3
85,2p5.(2P*).3s.3p.(3P*),4D,7/2,8.0,53.82,,                                                    ,,3
86,2p5.(2P*).3s.3p.(3P*),4D,5/2,6.0,53.8876,,                                                    ,,3
87,2p5.(2P*).3s.3p.(3P*),4D,3/2,4.0,53.957,0.012,                                                    ,,3
88,2p5.(2P*).3s.3p.(3P*),4D,1/2,2.0,54.012,0.012,                                                    ,,3
89,2p5.(2P*).3s.3p.(3P*),4P,5/2,6.0,54.252,,                                                    ,,3
90,2p5.(2P*).3s.3p.(3P*),4P,3/2,4.0,54.3258,,                                                    ,,3
91,2p5.(2P*).3s.3p.(3P*),2D,5/2,6.0,54.496,,                                                    ,,3
92,2p5.(2P*).3s.3p.(3P*),2P,3/2,4.0,54.71,,                                                    ,,3
93,2p5.(2P*).3s.3p.(1P*),2P,3/2,4.0,57.01,,                                                    ,,3
94,2p5.(2P*).3s.3p.(1P*),2S,1/2,2.0,57.644,,                                                    ,,3
95,2p5.(2P*).3p2.(1D),2P*,1/2,2.0,59.201,,  49             :    42  2p5.(2P*).3s.3d.(1D) 2P*  ,,3
96,2p5.(2P*).3p2.(1D),2P*,3/2,4.0,59.297,,  42             :    35  2p5.(2P*).3s.3d.(1D) 2P*  ,,3
97,2p5.(2P*).3p2.(3P),4P*,5/2,6.0,59.9306,,                                                    ,,3
98,2p5.(2P*).3p2.(3P),4D*,7/2,8.0,60.3625,,                                                    ,,3
99,2p5.(2P*).3p2.(3P),4D*,5/2,6.0,60.5468,0.0005,                                                    ,,3
100,2p5.(2P*).3s.4s.(3S),4P*,5/2,6.0,60.4057,,                                                    ,,4
101,2p5.(2P*).3s.3d.(3D),4F*,9/2,10.0,60.6758,,                                                    ,,3
102,2p5.(2P*).3s.3d.(3D),4P*,5/2,6.0,60.683,,                                                    ,,3
103,2p5.(2P*).3s.4s.(3S),2P*,1/2,2.0,60.917,,  78             :    12  2p5.(2P*).3s.4s.(3S) 4P*  ,,4
104,2p5.(2P*).3s.4s.(3S),2P*,3/2,4.0,60.949,,  63             :    26  2p5.(2P*).3s.4s.(1S) 2P*  ,,4
105,2p5.(2P*).3s.3d.(3D),*,3/2,4.0,61.094,,  48  2D*        :    47  2p5.(2P*).3s.3d.(3D) 2P*  ,,3
106,2p5.(2P*).3s.3d.(3D),2P*,1/2,2.0,61.223,,  87             :    10  2p5.(2P*).3s.3d.(3D) 4D*  ,,3
107,2p5.(2P*).3s.4s.(1S),2P*,3/2,4.0,61.297,,  68             :    26  2p5.(2P*).3s.4s.(3S) 2P*  ,,4
108,2p5.(2P*).3s.4s.(1S),2P*,1/2,2.0,61.378,,  91             :     8  2p5.(2P*).3s.4s.(3S) 2P*  ,,4
109,2p5.(2P*).3p2.(3P),2P*,1/2,2.0,62.207,,  76             :    19  2p5.(2P*).3s.3d.(1D) 2P*  ,,3
110,2p5.(2P*).3p2.(3P),2P*,3/2,4.0,62.709,,  75             :    19  2p5.(2P*).3s.3d.(1D) 2P*  ,,3
111,Limit,NaN,NaN,NaN,15.035271,6e-06,NaN,NaN,NaN
