,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Reference,nQua
0,3s2.3p5,2P*,3/2,4.0,0.0,1e-07,,L15349,3
1,3s2.3p5,2P*,1/2,2.0,0.17749368,1e-07,,L15349,3
2,3s.3p6,2S,1/2,2.0,13.4797526,1.5e-06,,L15349,3
3,3s2.3p4.(3P).3d,4D,7/2,8.0,16.40650186,5e-08,,L15349,3
4,3s2.3p4.(3P).3d,4D,5/2,6.0,16.42557623,5e-08,,L15349,3
5,3s2.3p4.(3P).3d,4D,3/2,4.0,16.44411446,5e-08,,L15349,3
6,3s2.3p4.(3P).3d,4D,1/2,2.0,16.45737782,7e-08,,L15349,3
7,3s2.3p4.(3P).4s,4P,5/2,6.0,16.64385439,4e-08,1.598,L15349,4
8,3s2.3p4.(3P).4s,4P,3/2,4.0,16.74852891,,1.722,L15349,4
9,3s2.3p4.(3P).4s,4P,1/2,2.0,16.81247225,4e-08,2.65,L15349,4
10,3s2.3p4.(3P).4s,2P,3/2,4.0,17.140027439,2.5e-08,1.334,L15349,4
11,3s2.3p4.(3P).4s,2P,1/2,2.0,17.265833524,2.5e-08,0.676,L15349,4
12,3s2.3p4.(3P).3d,4F,9/2,10.0,17.62885633,4e-08,,L15349,3
13,3s2.3p4.(3P).3d,4F,7/2,8.0,17.69466481,4e-08,,L15349,3
14,3s2.3p4.(3P).3d,4F,5/2,6.0,17.74309101,4e-08,,L15349,3
15,3s2.3p4.(3P).3d,4F,3/2,4.0,17.77579262,6e-08,,L15349,3
16,3s2.3p4.(3P).3d,2P,1/2,2.0,17.9417511,4e-08,,L15349,3
17,3s2.3p4.(3P).3d,2P,3/2,4.0,18.06063988,4e-08,,L15349,3
18,3s2.3p4.(3P).3d,4P,1/2,2.0,18.25395203,1e-07,,L15349,3
19,3s2.3p4.(3P).3d,4P,3/2,4.0,18.28805528,6e-08,,L15349,3
20,3s2.3p4.(3P).3d,4P,5/2,6.0,18.33428084,5e-08,,L15349,3
21,3s2.3p4.(1D).4s,2D,3/2,4.0,18.426549103,2.5e-08,0.803,L15349,4
22,3s2.3p4.(1D).4s,2D,5/2,6.0,18.454114013,2.5e-08,1.202,L15349,4
23,3s2.3p4.(3P).3d,2F,7/2,8.0,18.49586904,2.5e-08,,L15349,3
24,3s2.3p4.(3P).3d,2F,5/2,6.0,18.615942491,2.5e-08,,L15349,3
25,3s2.3p4.(3P).3d,2D,3/2,4.0,18.656521057,2.5e-08,,L15349,3
26,3s2.3p4.(3P).3d,2D,5/2,6.0,18.732439371,2.5e-08,,L15349,3
27,3s2.3p4.(1D).3d,2G,9/2,10.0,19.11606897,4e-08,,L15349,3
28,3s2.3p4.(1D).3d,2G,7/2,8.0,19.11886231,4e-08,,L15349,3
29,3s2.3p4.(3P).4p,4P*,5/2,6.0,19.222902151,2.5e-08,1.599,L15349,4
30,3s2.3p4.(3P).4p,4P*,3/2,4.0,19.261084163,2.5e-08,1.72,L15349,4
31,3s2.3p4.(3P).4p,4P*,1/2,2.0,19.3053449,4e-08,2.638,L15349,4
