,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Lande,Leading percentages,Reference,nQua
0,3d6.4s2,a 5D,4,9.0,0.0,,1.50020, 100                                                 ,L11631,4
1,3d6.4s2,a 5D,3,7.0,0.05156912,1.2e-07,1.50034, 100                                                 ,,4
2,3d6.4s2,a 5D,2,5.0,0.08728574,1.2e-07,1.50041, 100                                                 ,,4
3,3d6.4s2,a 5D,1,3.0,0.11011433,1.2e-07,1.50022, 100                                                 ,,4
4,3d6.4s2,a 5D,0,1.0,0.12126572,1.2e-07,, 100                                                 ,,4
5,3d7.(4F).4s,a 5F,5,11.0,0.85899575,1.2e-07,1.40021, 100                                                 ,,4
6,3d7.(4F).4s,a 5F,4,9.0,0.91460217,1.2e-07,1.35004, 100                                                 ,,4
7,3d7.(4F).4s,a 5F,3,7.0,0.95815732,1.2e-07,1.24988, 100                                                 ,,4
8,3d7.(4F).4s,a 5F,2,5.0,0.99011115,1.2e-07,0.99953, 100                                                 ,,4
9,3d7.(4F).4s,a 5F,1,3.0,1.01105568,1.2e-07,-0.014, 100                                                 ,,4
10,3d7.(4F).4s,a 3F,4,9.0,1.48486439,1.2e-07,1.254,  98             :     1  3d6.4s2               3F2  ,,4
11,3d7.(4F).4s,a 3F,3,7.0,1.55735733,1.2e-07,1.086,  98             :     1  3d6.4s2               3F2  ,,4
12,3d7.(4F).4s,a 3F,2,5.0,1.60789577,1.2e-07,0.670,  98             :     1  3d6.4s2               3F2  ,,4
13,3d7.(4P).4s,a 5P,3,7.0,2.17594512,1.2e-07,1.666,  99                                                 ,,4
14,3d7.(4P).4s,a 5P,2,5.0,2.1978664,1.2e-07,1.820,  99                                                 ,,4
15,3d7.(4P).4s,a 5P,1,3.0,2.22271209,1.2e-07,2.499,  99                                                 ,,4
16,3d6.4s2,a 3P2,2,5.0,2.27860466,1.2e-07,1.506,  55             :    32  3d6.4s2               3P1  ,,4
17,3d6.4s2,a 3P2,1,3.0,2.42419831,1.2e-07,1.500,  55             :    32  3d6.4s2               3P1  ,,4
18,3d6.4s2,a 3P2,0,1.0,2.48437256,2.5e-07,,  55             :    32  3d6.4s2               3P1  ,,4
19,3d6.(5D).4s.4p.(3P*),z 7D*,5,11.0,2.39920471,1.2e-07,1.597,  99                                                 ,,4
20,3d6.(5D).4s.4p.(3P*),z 7D*,4,9.0,2.42543332,1.2e-07,1.642,  98                                                 ,,4
21,3d6.(5D).4s.4p.(3P*),z 7D*,3,7.0,2.44955978,1.2e-07,1.746,  99                                                 ,,4
22,3d6.(5D).4s.4p.(3P*),z 7D*,2,5.0,2.46883473,1.2e-07,2.008,  99                                                 ,,4
23,3d6.(5D).4s.4p.(3P*),z 7D*,1,3.0,2.4821184,1.2e-07,2.999, 100                                                 ,,4
24,3d6.4s2,a 3H,6,13.0,2.40407444,1.2e-07,1.163, 100                                                 ,,4
25,3d6.4s2,a 3H,5,11.0,2.4326947,1.2e-07,1.038, 100                                                 ,,4
26,3d6.4s2,a 3H,4,9.0,2.45343044,1.2e-07,0.811, 100                                                 ,,4
27,3d6.4s2,b 3F2,4,9.0,2.55917148,1.2e-07,1.235,  71             :    21  3d6.4s2               3F1  ,,4
28,3d6.4s2,b 3F2,3,7.0,2.58810592,1.2e-07,1.073,  71             :    21  3d6.4s2               3F1  ,,4
29,3d6.4s2,b 3F2,2,5.0,2.60850194,1.2e-07,0.663,  71             :    21  3d6.4s2               3F1  ,,4
30,3d7.(2G).4s,a 3G,5,11.0,2.69240763,1.2e-07,1.197,  88             :    10  3d6.4s2               3G   ,,4
