,Configuration,Term,J,g,Level (eV),nQua
0,3d7.(4F).7d,5H,nan,28.0,15.6152035,7.0
1,3d7.(4F<9/2>).4f,2[3/2]*,nan,8.0,13.6626888,4.0
2,3d7.(4F).4s,b 3F,nan,21.0,1.31601172,4.0
3,3d7.(4F<5/2>).4f,2[7/2]*,nan,16.0,13.8308121,4.0
4,3d7.(4F).4p,z 3G*,nan,27.0,6.114103203333333,4.0
5,3d7.(2G).4d,1G,nan,9.0,13.55297099,4.0
6,3d7.(4F<3/2>).4f,2[5/2]*,nan,12.0,13.8840982,4.0
7,3d7.(4P).4p,z 5P*,nan,15.0,7.867907379999999,4.0
8,3d7.(4F).6s,3F,nan,21.0,13.6254927,6.0
9,3d7.(4F).5d,3P,nan,3.0,14.0636672,5.0
10,3d7.(2H).4d,1I,nan,13.0,14.22888473,4.0
11,3d7.(4F<5/2>).5g,2[11/2],nan,24.0,15.084007450000001,5.0
12,3d7.(4F).4d,e 3P,nan,9.0,11.687778386666666,4.0
13,3d7.(2F).4p,x 1F*,nan,7.0,10.865099,4.0
14,3d7.(2H).5s,3H,nan,33.0,13.292996933333333,5.0
15,3d7.(2G).4d,1D,nan,5.0,13.50344129,4.0
16,3d7.(4F).4p,z 5F*,nan,35.0,5.698006526,4.0
17,3d7.(2D2).4d,3S,nan,3.0,14.1654348,4.0
18,3d7.(2G).4p,z 1H*,nan,11.0,8.05370134,4.0
19,3d7.(2F).4p,w 3F*,nan,16.0,10.414885049999999,4.0
20,3d7.(4P).4d,3F,nan,21.0,13.185320366666666,4.0
21,3d7.(4F<7/2>).4f,2[13/2]*,nan,28.0,13.76019719,4.0
22,3d7.(4F).5p,5G*,nan,45.0,12.021192807999999,5.0
23,3d7.(4F<5/2>).4f,2[5/2]*,nan,12.0,13.83224385,4.0
24,3d7.(2H).4d,3I,nan,39.0,14.129565996666669,4.0
25,3d7.(4F<5/2>).5g,2[13/2],nan,28.0,15.08528711,5.0
26,3d7.(4F<5/2>).5g,2[9/2],nan,20.0,15.0839179,5.0
27,3d7.(2P).5s,1P,nan,3.0,13.0717076,5.0
28,3d7.(4F<7/2>).4f,2[3/2]*,nan,8.0,13.762029049999999,4.0
29,3d7.(4F<9/2>).5g,2[1/2],nan,4.0,14.90687955,5.0
30,3d7.(4P).4d,5F,nan,35.0,13.082131844,4.0
31,3d7.(2D2).4d,3F,nan,21.0,14.069358600000001,4.0
32,3d7.(4F<3/2>).5g,2[7/2],nan,16.0,15.135658750000001,5.0
33,3d7.(2P).4d,3P,nan,9.0,13.764537166666669,4.0
34,3d7.(2D2).4d,3P,nan,9.0,14.335970966666666,4.0
35,3d7.(4F<7/2>).5g,2[13/2],nan,28.0,15.00845434,5.0
36,3d7.(4F).5p,5D*,nan,21.0,11.858070266666667,5.0
37,3d7.(2H).4d,3H,nan,33.0,14.176904733333332,4.0
38,3d7.(4F<9/2>).5g,2[13/2],nan,28.0,14.903386000000001,5.0
39,3d8,a 1S,nan,1.0,5.33,3.0
40,3d7.(4F).4d,e 3H,nan,33.0,11.442586480000001,4.0
41,3d7.(2G).4d,1H,nan,11.0,13.4647054,4.0
42,3d7.(4F).5d,3G,nan,11.0,13.8056504,5.0
43,3d7.(4F).5p,5F*,nan,35.0,11.951417994,5.0
44,3d7.(4F<9/2>).5g,2[7/2],nan,16.0,14.90493685,5.0
45,3d7.(2H).4p,z 3I*,nan,39.0,8.503447406666668,4.0
46,3d7.(4F<7/2>).5g,2[15/2],nan,32.0,15.009877320000001,5.0
47,3d7.(4F<9/2>).4f,2[7/2]*,nan,16.0,13.65438535,4.0
48,3d6.(5D).4s.4p,v 3F*,nan,21.0,10.886893333333333,4.0
49,3d7.(2F).4p,w 3G*,nan,27.0,10.348015433333334,4.0
50,3d7.(2P).4s,c 3P,nan,9.0,3.14362923,4.0
51,3d7.(2G).4d,3H,nan,33.0,13.379489976666667,4.0
52,3d7.(4F<9/2>).5g,2[5/2],nan,12.0,14.90579595,5.0
53,3d7.(4F<7/2>).4f,2[5/2]*,nan,12.0,13.758977550000001,4.0
54,3d7.(4F<9/2>).4f,2[15/2]*,nan,32.0,13.657276925,4.0
55,3d7.(4F).7s,3F,nan,16.0,14.944322,7.0
56,3d7.(4F<9/2>).5g,2[15/2],nan,32.0,14.904214849999999,5.0
57,3d7.(4F).5s,e 5F,nan,35.0,10.54463625,5.0
58,3d7.(4F).4d,e 3D,nan,15.0,11.410400206666667,4.0
59,3d7.(2G).4s,b 1G,nan,9.0,3.11785953,4.0
60,3d6.(5D).4s.4p,y 5F*,nan,35.0,10.2344166,4.0
61,3d7.(4F).4p,z 3F*,nan,21.0,6.240278943333334,4.0
62,3d7.(2P).4s,a 1P,nan,3.0,3.42012122,4.0
63,3d7.(4F<7/2>).5g,2[3/2],nan,8.0,15.01017175,5.0
64,3d7.(2F).4s,c 3F,nan,21.0,5.0708687333333335,4.0
65,3d7.(4P).5p,3D*,nan,5.0,13.8696538,5.0
66,3d7.(4F<9/2>).5g,2[9/2],nan,20.0,14.904095,5.0
67,3d7.(2P).4p,z 3P*,nan,9.0,8.060725376666667,4.0
68,3d6.4s2,1G1,nan,9.0,13.0916291,4.0
69,3d7.(2D2).4p,y 1D*,nan,5.0,9.0079637,4.0
70,3d7.(2D2).4d,3G,nan,16.0,14.1810638,4.0
71,3d7.(4F<7/2>).5g,2[7/2],nan,16.0,15.0088242,5.0
72,3d7.(4F<5/2>).5g,2[5/2],nan,12.0,15.08498125,5.0
73,3d7.(4F).5p,3D*,nan,12.0,12.15943685,5.0
74,3d7.(4F).4d,e 5G,nan,45.0,11.306105338,4.0
75,3d7.(2G).4d,3D,nan,12.0,13.338525395000001,4.0
76,3d7.(2H).4d,3K,nan,28.0,14.026020670000001,4.0
77,3d7.(2H).4p,x 3G*,nan,27.0,8.53022361,4.0
78,3d7.(4F).5d,5F,nan,20.0,13.77214695,5.0
79,Limit,nan,nan,0.0,17.0844,nan
80,3d8,a 1D,nan,5.0,1.44457424,3.0
81,3d7.(2D2).4p,x 3P*,nan,9.0,9.028666133333333,4.0
82,3d7.(4F<3/2>).4f,2[9/2]*,nan,20.0,13.886748,4.0
83,3d7.(4F<9/2>).4f,2[11/2]*,nan,24.0,13.648444900000001,4.0
84,3d7.(2H).5s,1H,nan,11.0,13.3929219,5.0
85,3d7.(4F<7/2>).4f,2[11/2]*,nan,24.0,13.754380345000001,4.0
86,3d7.(4F<9/2>).4f,2[13/2]*,nan,28.0,13.6447673,4.0
87,3d7.(4F<3/2>).5g,2[5/2],nan,12.0,15.1373745,5.0
88,3d7.(4F<7/2>).5g,2[9/2],nan,20.0,15.008263750000001,5.0
