,Configuration,Term,J,g,Level (eV),Uncertainty (eV),Reference,nQua
0,1s2.2s2,1S,0,1.0,0.0,,,2
1,1s2.2s.2p,3P*,0,1.0,6.492688,,,2
2,1s2.2s.2p,3P*,1,3.0,6.495625,,,2
3,1s2.2s.2p,3P*,2,5.0,6.502613,,,2
4,1s2.2s.2p,1P*,1,3.0,12.690036,,,2
5,1s2.2p2,3P,0,1.0,17.038615,,,2
6,1s2.2p2,3P,1,3.0,17.042174,,,2
7,1s2.2p2,3P,2,5.0,17.048076,,,2
8,1s2.2p2,1D,2,5.0,18.086335,,,2
9,1s2.2p2,1S,0,1.0,22.629581,,,2
10,1s2.2s.3s,3S,1,3.0,29.534648,,,3
11,1s2.2s.3s,1S,0,1.0,30.645207,,,3
12,1s2.2s.3p,1P*,1,3.0,32.103388,,,3
13,1s2.2s.3p,3P*,0,1.0,32.199384,,,3
14,1s2.2s.3p,3P*,1,3.0,32.200087,,,3
15,1s2.2s.3p,3P*,2,5.0,32.201709,,,3
16,1s2.2s.3d,3D,1,3.0,33.477076,,,3
17,1s2.2s.3d,3D,2,5.0,33.477213,,,3
18,1s2.2s.3d,3D,3,7.0,33.477561,,,3
19,1s2.2s.3d,1D,2,5.0,34.279506,,,3
20,1s2.2p.(2P*).3s,3P*,0,1.0,38.213986,,,3
21,1s2.2p.(2P*).3s,3P*,1,3.0,38.217994,,,3
22,1s2.2p.(2P*).3s,3P*,2,5.0,38.226472,,,3
23,1s2.2s.4s,3S,1,3.0,38.367799,,,4
24,1s2.2p.(2P*).3s,1P*,1,3.0,38.435885,,,3
25,1s2.2s.4s,1S,0,1.0,38.648542,,,4
26,1s2.2s.4p,3P*,0,1.0,39.401467,,,4
27,1s2.2s.4p,3P*,1,3.0,39.401746,,,4
28,1s2.2s.4p,3P*,2,5.0,39.402339,,,4
29,1s2.2p.(2P*).3p,1P,1,3.0,39.640271,,,3
30,1s2.2s.4d,3D,1,3.0,39.849924,,,4
31,1s2.2s.4d,3D,2,5.0,39.851837,,,4
32,1s2.2s.4d,3D,3,7.0,39.854727,,,4
33,1s2.2s.4f,3F*,2,5.0,39.923368,,,4
34,1s2.2s.4f,3F*,3,7.0,39.9241,,,4
35,1s2.2s.4f,3F*,4,9.0,39.92514,,,4
36,1s2.2s.4p,1P*,1,3.0,39.973026,,,4
37,1s2.2s.4f,1F*,3,7.0,40.009951,,,4
38,1s2.2p.(2P*).3p,3D,1,3.0,40.056428,,,3
39,1s2.2p.(2P*).3p,3D,2,5.0,40.059463,,,3
40,1s2.2p.(2P*).3p,3D,3,7.0,40.064295,,,3
41,1s2.2s.4d,1D,2,5.0,40.197226,,,4
42,1s2.2p.(2P*).3p,3S,1,3.0,40.577334,,,3
43,1s2.2p.(2P*).3p,3P,0,1.0,40.875778,,,3
44,1s2.2p.(2P*).3p,3P,1,3.0,40.878392,,,3
45,1s2.2p.(2P*).3p,3P,2,5.0,40.882992,,,3
46,1s2.2p.(2P*).3d,1D*,2,5.0,41.248462,,,3
47,1s2.2p.(2P*).3p,1D,2,5.0,41.301394,,,3
48,1s2.2p.(2P*).3d,3F*,2,5.0,41.334721,,,3
49,1s2.2p.(2P*).3d,3F*,3,7.0,41.337764,,,3
50,1s2.2p.(2P*).3d,3F*,4,9.0,41.342189,,,3
51,1s2.2p.(2P*).3d,3D*,1,3.0,41.864006,,,3
52,1s2.2p.(2P*).3d,3D*,2,5.0,41.865607,,,3
53,1s2.2p.(2P*).3d,3D*,3,7.0,41.867981,,,3
54,1s2.2s.5s,1S,0,1.0,41.970428,,,5
55,1s2.2s.5s,3S,1,3.0,42.146534,,,5
56,1s2.2p.(2P*).3d,3P*,2,5.0,42.167254,,,3
57,1s2.2p.(2P*).3d,3P*,1,3.0,42.170439,,,3
58,1s2.2p.(2P*).3d,3P*,0,1.0,42.172212,,,3
59,1s2.2p.(2P*).3d,1F*,3,7.0,42.324602,,,3
60,1s2.2s.5p,1P*,1,3.0,42.558572,,,5
61,1s2.2s.5p,3P*,2,5.0,42.67945,,,5
62,1s2.2s.5p,3P*,1,3.0,42.67986,,,5
63,1s2.2s.5p,3P*,0,1.0,42.680157,,,5
64,1s2.2p.(2P*).3p,1S,0,1.0,42.78638,,,3
65,1s2.2s.5d,3D,1,3.0,42.836115,,,5
66,1s2.2s.5d,3D,2,5.0,42.836134,,,5
67,1s2.2s.5d,3D,3,7.0,42.836187,,,5
68,1s2.2s.5g,3G,3,7.0,42.970346,,,5
69,1s2.2s.5g,3G,4,9.0,42.970346,,,5
70,1s2.2s.5g,3G,5,11.0,42.97038,,,5
71,1s2.2s.5g,1G,4,9.0,42.970358,,,5
72,1s2.2s.5d,1D,2,5.0,42.980156,,,5
73,1s2.2p.(2P*).3d,1P*,1,3.0,42.9869,,,3
74,1s2.2s.5f,3F*,2,5.0,43.041349,,,5
75,1s2.2s.5f,3F*,3,7.0,43.041519,,,5
76,1s2.2s.5f,3F*,4,9.0,43.041785,,,5
77,1s2.2s.5f,1F*,3,7.0,43.253126,,,5
78,1s2.2s.6s,3S,1,3.0,43.996788,,,6
79,1s2.2s.6p,3P*,0,1.0,44.268481,,,6
80,1s2.2s.6p,3P*,1,3.0,44.268579,,,6
81,1s2.2s.6p,3P*,2,5.0,44.268711,,,6
82,1s2.2s.6p,1P*,1,3.0,44.275957,,,6
83,1s2.2s.6d,3D,3,7.0,44.398466,,,6
84,1s2.2s.6d,3D,2,5.0,44.398466,,,6
85,1s2.2s.6d,3D,1,3.0,44.398466,,,6
