,ritz_wl_vac(nm),Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,229.5936,22000000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d8.(1D).4p,x 2F*,7/2,10.0,8.0
1,230.9718,56000000.0,C+,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(2G).4s.4p.(3P*),w 4F*,9/2,10.0,10.0
2,232.3853,50000000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d7.(2G).4s.4p.(3P*),*,7/2,8.0,8.0
3,233.6717,51000000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d7.(2G).4s.4p.(3P*),*,5/2,6.0,6.0
4,236.5782,13000000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(4F).4s.4p.(1P*),x 4G*,9/2,10.0,10.0
5,238.5587,24000000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(4F).4s.4p.(1P*),x 4F*,7/2,10.0,8.0
6,240.2793,51000000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d7.(4F).4s.4p.(1P*),x 4F*,5/2,8.0,6.0
7,240.7983,360000000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(4F).4s.4p.(1P*),x 4G*,11/2,10.0,12.0
8,241.3499,65000000.0,C,3p6.3d7.4s2,a 4F,3/2,3p6.3d7.(4P).4s.4p.(3P*),w 4D*,5/2,4.0,6.0
9,241.5191,340000000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d7.(4F).4s.4p.(1P*),x 4G*,7/2,6.0,8.0
10,241.6024,360000000.0,C+,3p6.3d7.4s2,a 4F,3/2,3p6.3d7.(4F).4s.4p.(1P*),x 4G*,5/2,4.0,6.0
11,242.5668,320000000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d7.(4F).4s.4p.(1P*),x 4F*,9/2,10.0,10.0
12,243.9778,270000000.0,C,3p6.3d7.4s2,a 4F,3/2,3p6.3d7.(4F).4s.4p.(1P*),x 4F*,3/2,4.0,4.0
13,251.1774,92000000.0,C,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d7.(2G).4s.4p.(3P*),w 4F*,9/2,10.0,10.0
14,253.6724,190000000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,3/2,6.0,4.0
15,256.2891,39000000.0,C,3p6.3d7.4s2,a 4F,3/2,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,3/2,4.0,4.0
16,256.8112,30000000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,5/2,6.0,6.0
17,257.5119,17000000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,7/2,8.0,8.0
18,269.6646,4500000.0,C,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d7.(4F).4s.4p.(1P*),x 4F*,9/2,8.0,10.0
19,276.5002,4300000.0,C,3p6.3d8.(3F).4s,b 4F,9/2,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,7/2,10.0,8.0
20,281.6386,3200000.0,C,3p6.3d8.(3F).4s,b 4F,7/2,3p6.3d7.(4F).4s.4p.(1P*),x 4D*,7/2,8.0,8.0
21,286.3441,660000.0,C,3p6.3d7.4s2,a 4F,5/2,3p6.3d8.(3F).4p,y 2F*,5/2,6.0,6.0
22,288.7289,1600000.0,C,3p6.3d7.4s2,a 4F,7/2,3p6.3d8.(3F).4p,y 2F*,7/2,8.0,8.0
23,292.9665,250000.0,C,3p6.3d7.4s2,a 4F,9/2,3p6.3d8.(3F).4p,y 2G*,7/2,10.0,8.0
24,298.803,4900000.0,B,3p6.3d7.4s2,a 4F,9/2,3p6.3d8.(3F).4p,*,7/2,10.0,8.0
