,ritz_wl_vac(nm),Aki(s^-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,226.176703,65037037.03703704,3d7.(2G).4p,z 3H*,nan,3d7.(2G).4d,3G,nan,33.0,27.0
1,244.68369,61600000.0,3d7.(2D2).4p,y 1D*,nan,3d7.(2D2).4d,3D,nan,5.0,15.0
2,987.9696,39878571.428571425,3d7.(4F<9/2>).4f,2[11/2]*,nan,3d7.(4F<9/2>).5g,2[13/2],nan,24.0,28.0
3,282.33111625000004,1780000.0,3d7.(4F).4s,b 3F,nan,3d7.(4F).4p,z 5F*,nan,21.0,35.0
4,611.22464,2385000.0,3d7.(4F).4d,f 3F,nan,3d7.(4F<9/2>).4f,2[9/2]*,nan,21.0,20.0
5,514.53402,14062500.0,3d7.(4F).4d,e 5H,nan,3d7.(4F<5/2>).4f,2[7/2]*,nan,55.0,16.0
6,899.6248,9111111.111111112,3d7.(4F).5s,e 3F,nan,3d7.(4F).5p,5G*,nan,21.0,45.0
7,581.32819,15125000.0,3d7.(4F).4d,f 3F,nan,3d7.(4F<7/2>).4f,2[11/2]*,nan,21.0,24.0
8,224.57031700000002,368888888.8888889,3d7.(2H).4p,x 3G*,nan,3d7.(2H).4d,3G,nan,27.0,27.0
9,525.80789,7933333.333333333,3d7.(4F).4d,e 5D,nan,3d7.(4F<7/2>).4f,2[5/2]*,nan,25.0,12.0
10,1790.4693,376444.44444444444,3d7.(4F).4d,e 3G,nan,3d7.(4F).5p,5G*,nan,27.0,45.0
11,242.3881398,282866666.6666667,3d7.(4F).4s,b 3F,nan,3d7.(4F).4p,z 3D*,nan,21.0,15.0
12,1776.1060333333335,646222.2222222222,3d7.(4F).4d,e 5G,nan,3d7.(4F).5p,5G*,nan,45.0,45.0
13,237.256328,80000000.0,3d7.(2H).4s,a 3H,nan,3d7.(2H).4p,z 1I*,nan,33.0,13.0
14,517.88291,9916666.666666666,3d7.(4F).4d,e 5G,nan,3d7.(4F<7/2>).4f,2[5/2]*,nan,45.0,12.0
15,654.5838533333333,92435897.43589744,3d7.(4F).5p,5G*,nan,3d7.(4F).5d,5H,nan,45.0,39.0
16,232.838965,77000000.0,3d7.(2G).4s,a 3G,nan,3d7.(2G).4p,z 1H*,nan,27.0,11.0
17,501.99433999999997,37500000.0,3d7.(4F).4d,e 5P,nan,3d7.(4F<5/2>).4f,2[3/2]*,nan,15.0,8.0
18,575.0360766666666,29250000.0,3d7.(4F).4d,f 3F,nan,3d7.(4F<5/2>).4f,2[7/2]*,nan,21.0,16.0
19,228.528031,423750000.0,3d7.(2D2).4p,x 3F*,nan,3d7.(2D2).4d,3G,nan,21.0,16.0
20,238.507297,440000000.0,3d7.(4F).4p,z 3D*,nan,3d7.(4F).4d,e 3P,nan,15.0,9.0
21,1900.7598,1303703.7037037036,3d7.(4F).4d,e 5H,nan,3d7.(4F).5p,3G*,nan,55.0,27.0
22,602.11449,7875000.0,3d7.(4F).4d,f 3F,nan,3d7.(4F<7/2>).4f,2[5/2]*,nan,21.0,12.0
23,225.41781,94444444.44444445,3d7.(2D2).4s,a 3D,nan,3d7.(2D2).4p,x 3P*,nan,15.0,9.0
24,510.94699,34375000.0,3d7.(4F).4d,e 5P,nan,3d7.(4F<7/2>).4f,2[3/2]*,nan,15.0,8.0
25,1801.8154,2600000.0,3d7.(4P).4d,3F,nan,3d7.(4P).5p,3D*,nan,21.0,5.0
26,268.4226233333333,149933333.33333334,3d7.(2D2).4p,x 3F*,nan,3d7.(2D2).5s,3D,nan,21.0,15.0
27,1648.188,106888.88888888889,3d7.(4F).4d,f 5F,nan,3d7.(4F).5p,5G*,nan,35.0,45.0
28,632.2048566666666,37611111.11111111,3d7.(4F).5p,5F*,nan,3d7.(4F).5d,5G,nan,35.0,36.0
29,230.170087,310000000.0,3d7.(2G).4p,y 3G*,nan,3d7.(2G).4d,1H,nan,27.0,11.0
30,237.08784166666666,301904761.9047619,3d7.(2D2).4s,a 3D,nan,3d7.(2D2).4p,x 3F*,nan,15.0,21.0
31,610.0858,14062500.0,3d7.(4F).4d,f 3F,nan,3d7.(4F<9/2>).4f,2[7/2]*,nan,21.0,16.0
32,996.8389999999999,30850000.0,3d7.(4F<9/2>).4f,2[3/2]*,nan,3d7.(4F<9/2>).5g,2[3/2],nan,8.0,8.0
33,226.595326,38888888.88888889,3d7.(4F).4p,z 5G*,nan,3d7.(4F).4d,e 3G,nan,45.0,27.0
34,253.61131699999999,134000000.0,3d7.(4P).4s,b 3P,nan,3d7.(4P).4p,y 3D*,nan,9.0,15.0
35,429.64533,2.200111111111111,3d8,a 3F,nan,3d7.(4P).4s,b 3P,nan,21.0,9.0
36,611.42379,11916666.666666666,3d7.(4F).4d,f 3F,nan,3d7.(4F<9/2>).4f,2[11/2]*,nan,21.0,24.0
37,578.28599,17500000.0,3d7.(4F).4d,f 3F,nan,3d7.(4F<3/2>).4f,2[3/2]*,nan,21.0,8.0
38,988.1839999999999,30362500.0,3d7.(4F<9/2>).4f,2[9/2]*,nan,3d7.(4F<9/2>).5g,2[11/2],nan,20.0,24.0
39,226.892368,43285714.28571428,3d7.(2G).4p,z 1G*,nan,3d7.(2G).4d,3F,nan,9.0,21.0
40,237.85273,75833333.33333333,3d7.(2P).4p,z 3P*,nan,3d7.(2G).4d,3D,nan,9.0,12.0
41,507.84847,34500000.0,3d7.(4F).4d,e 5P,nan,3d7.(4F<5/2>).4f,2[1/2]*,nan,15.0,4.0
42,528.15373,23291666.666666668,3d7.(4F).4d,e 3H,nan,3d7.(4F<7/2>).4f,2[11/2]*,nan,33.0,24.0
43,994.3096,10353125.0,3d7.(4F<9/2>).4f,2[15/2]*,nan,3d7.(4F<9/2>).5g,2[15/2],nan,32.0,32.0
44,183.975149,270000000.0,3d6.4s2,a 5D,nan,3d7.(4F).5p,5D*,nan,25.0,21.0
45,514.91861,25875000.0,3d7.(4F).4d,e 3G,nan,3d7.(4F<3/2>).4f,2[7/2]*,nan,27.0,16.0
46,989.7067999999999,21791666.666666668,3d7.(4F<5/2>).4f,2[5/2]*,nan,3d7.(4F<5/2>).5g,2[5/2],nan,12.0,12.0
47,226.459316,180000000.0,3d7.(2G).4p,y 3G*,nan,3d7.(2G).4d,1G,nan,27.0,9.0
48,508.23847,25625000.0,3d7.(4F).4d,e 5D,nan,3d7.(4F<3/2>).4f,2[3/2]*,nan,25.0,8.0
49,994.6703333333334,16054375.0,3d7.(4F<9/2>).4f,2[5/2]*,nan,3d7.(4F<9/2>).5g,2[7/2],nan,12.0,16.0
50,527.66656,11250000.0,3d7.(4F).4d,e 3D,nan,3d7.(4F<7/2>).4f,2[3/2]*,nan,15.0,8.0
51,235.631142,400000000.0,3d7.(2D2).4p,y 1F*,nan,3d7.(2D2).4d,1G,nan,7.0,9.0
52,231.95271333333335,261000000.0,3d7.(2F).4s,c 3F,nan,3d7.(2F).4p,w 3F*,nan,21.0,16.0
53,887.3181,12000000.0,3d7.(4P).5s,3P,nan,3d7.(4P).5p,3D*,nan,9.0,5.0
54,254.6924,1190476.1904761905,3d8,a 1D,nan,3d7.(4F).4p,z 3F*,nan,5.0,21.0
