,ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k
0,10.414193181,2.2e-08,1599200000.0,AA,1s,2S,1/2,6p,2P*,3/2,2,4
1,10.414205094,2.2e-08,1599200000.0,AA,1s,2S,1/2,6p,2P*,1/2,2,2
2,10.546772673,2.2e-08,2786500000.0,AA,1s,2S,1/2,5p,2P*,3/2,2,4
3,10.546793787,2.2e-08,2786400000.0,AA,1s,2S,1/2,5p,2P*,1/2,2,2
4,10.799879056,2.3e-08,5527300000.0,AA,1s,2S,1/2,4p,2P*,3/2,2,4
5,10.799922297,2.3e-08,5527200000.0,AA,1s,2S,1/2,4p,2P*,1/2,2,2
6,11.3904569,3e-08,13558000000.0,AA,1s,2S,1/2,3p,2P*,3/2,2,4
7,11.39057091,3e-08,13557000000.0,AA,1s,2S,1/2,3p,2P*,1/2,2,2
8,13.4995761,4e-08,50786000000.0,AA,1s,2S,1/2,2p,2P*,3/2,2,4
9,13.50011661,4e-08,50782000000.0,AA,1s,2S,1/2,2p,2P*,1/2,2,2
10,45.559401139,1.2e-08,347620000.0,AA,2p,2P*,1/2,6d,2D,3/2,2,4
11,45.559612498,1.2e-08,19863000.0,AA,2p,2P*,1/2,6s,2S,1/2,2,2
12,45.55983499,6e-08,231730000.0,AA,2s,2S,1/2,6p,2P*,3/2,2,4
13,45.56006299,6e-08,231730000.0,AA,2s,2S,1/2,6p,2P*,1/2,2,2
14,45.565482039,8e-09,416970000.0,AA,2p,2P*,3/2,6d,2D,5/2,4,6
15,45.565558046,8e-09,69494000.0,AA,2p,2P*,3/2,6d,2D,3/2,4,4
16,45.565769462,6e-09,39716000.0,AA,2p,2P*,3/2,6s,2S,1/2,4,2
17,48.210660864,1.6e-08,636830000.0,AA,2p,2P*,1/2,5d,2D,3/2,2,4
18,48.211069869,1.4e-08,34825000.0,AA,2p,2P*,1/2,5s,2S,1/2,2,2
19,48.21114637,7e-08,401170000.0,AA,2s,2S,1/2,5p,2P*,3/2,2,4
20,48.21158755,7e-08,401170000.0,AA,2s,2S,1/2,5p,2P*,1/2,2,2
21,48.217408188,9e-09,763880000.0,AA,2p,2P*,3/2,5d,2D,5/2,4,6
22,48.217555259,9e-09,127310000.0,AA,2p,2P*,3/2,5d,2D,3/2,4,4
23,48.21796438,9e-09,69631000.0,AA,2p,2P*,3/2,5s,2S,1/2,4,2
24,53.99511279,2.3e-08,1393600000.0,AA,2p,2P*,1/2,4d,2D,3/2,2,4
25,53.99572092,9e-08,783850000.0,AA,2s,2S,1/2,4p,2P*,3/2,2,4
26,53.996114953,2e-08,69676000.0,AA,2p,2P*,1/2,4s,2S,1/2,2,2
27,53.99680181,9e-08,783830000.0,AA,2s,2S,1/2,4p,2P*,1/2,2,2
28,54.003400674,1.7e-08,1671600000.0,AA,2p,2P*,3/2,4d,2D,5/2,4,6
29,54.003761002,1.7e-08,278590000.0,AA,2p,2P*,3/2,4d,2D,3/2,4,4
30,54.004763486,1.2e-08,139310000.0,AA,2p,2P*,3/2,4s,2S,1/2,4,2
31,72.88972306,3e-08,4368800000.0,AA,2p,2P*,1/2,3d,2D,3/2,2,4
32,72.89082685,1.6e-07,1820200000.0,AA,2s,2S,1/2,3p,2P*,3/2,2,4
33,72.89405309,5e-08,170630000.0,AA,2p,2P*,1/2,3s,2S,1/2,2,2
34,72.89549614,1.6e-07,1820000000.0,AA,2s,2S,1/2,3p,2P*,1/2,2,2
35,72.903927131,1.6e-08,5239800000.0,AA,2p,2P*,3/2,3d,2D,5/2,4,6
36,72.90548372,1.6e-08,873240000.0,AA,2p,2P*,3/2,3d,2D,3/2,4,4
37,72.90981562,5e-08,341110000.0,AA,2p,2P*,3/2,3s,2S,1/2,4,2
38,121.49356227,4e-08,126860000.0,AA,3p,2P*,1/2,6d,2D,3/2,2,4
39,121.49448021,1.2e-07,77427000.0,AA,3s,2S,1/2,6p,2P*,3/2,2,4
40,121.49506533,3e-08,13705000.0,AA,3p,2P*,1/2,6s,2S,1/2,2,2
41,121.49610162,1.2e-07,77427000.0,AA,3s,2S,1/2,6p,2P*,1/2,2,2
42,121.505974098,1.5e-08,162340000.0,AA,3d,2D,3/2,6f,2F*,5/2,4,6
43,121.50599451,3e-08,152190000.0,AA,3p,2P*,3/2,6d,2D,5/2,4,6
44,121.506510829,1.2e-08,634130.0,AA,3d,2D,3/2,6p,2P*,3/2,4,4
45,121.50653498,3e-08,25365000.0,AA,3p,2P*,3/2,6d,2D,3/2,4,4
46,121.508038354,2.1e-08,27405000.0,AA,3p,2P*,3/2,6s,2S,1/2,4,2
47,121.508132562,1.3e-08,6342000.0,AA,3d,2D,3/2,6p,2P*,1/2,4,2
48,121.510027724,1.5e-08,173920000.0,AA,3d,2D,5/2,6f,2F*,7/2,6,8
49,121.510297977,1.5e-08,11594000.0,AA,3d,2D,5/2,6f,2F*,5/2,6,6
50,121.510834746,1.2e-08,5706900.0,AA,3d,2D,5/2,6p,2P*,3/2,6,4
51,142.37262175,8e-08,229140000.0,AA,3p,2P*,1/2,5d,2D,3/2,2,4
52,142.37387962,1.6e-07,132770000.0,AA,3s,2S,1/2,5p,2P*,3/2,2,4
53,142.37618875,6e-08,24448000.0,AA,3p,2P*,1/2,5s,2S,1/2,2,2
54,142.37772726,1.6e-07,132770000.0,AA,3s,2S,1/2,5p,2P*,1/2,2,2
55,142.3891271,4e-08,343600000.0,AA,3d,2D,3/2,5f,2F*,5/2,4,6
56,142.38915417,6e-08,274880000.0,AA,3p,2P*,3/2,5d,2D,5/2,4,6
57,142.390400872,6e-09,1212000.0,AA,3d,2D,3/2,5p,2P*,3/2,4,4
58,142.39043672,6e-08,45812000.0,AA,3p,2P*,3/2,5d,2D,3/2,4,4
59,142.39400461,4e-08,48884000.0,AA,3p,2P*,3/2,5s,2S,1/2,4,2
60,142.394249405,1e-08,12120000.0,AA,3d,2D,3/2,5p,2P*,1/2,4,2
61,142.39442375,4e-08,368100000.0,AA,3d,2D,5/2,5f,2F*,7/2,6,8
62,142.39506502,4e-08,24540000.0,AA,3d,2D,5/2,5f,2F*,5/2,6,6
63,142.396338902,6e-09,10907000.0,AA,3d,2D,5/2,5p,2P*,3/2,6,4
64,208.2588457,2.2e-07,475550000.0,AA,3p,2P*,1/2,4d,2D,3/2,2,4
65,208.2615242,3e-07,248530000.0,AA,3s,2S,1/2,4p,2P*,3/2,2,4
66,208.27375506,1.7e-07,49601000.0,AA,3p,2P*,1/2,4s,2S,1/2,2,2
67,208.277605,3e-07,248490000.0,AA,3s,2S,1/2,4p,2P*,1/2,2,2
68,208.29155294,9e-08,1043100000.0,AA,3d,2D,3/2,4f,2F*,5/2,4,6
69,208.29160615,2.2e-07,570420000.0,AA,3p,2P*,3/2,4d,2D,5/2,4,6
70,208.296876946,2.2e-08,2816700.0,AA,3d,2D,3/2,4p,2P*,3/2,4,4
71,208.29696668,2.2e-07,95063000.0,AA,3p,2P*,3/2,4d,2D,3/2,4,4
72,208.3015793,9e-08,1117400000.0,AA,3d,2D,5/2,4f,2F*,7/2,6,8
73,208.30425964,9e-08,74491000.0,AA,3d,2D,5/2,4f,2F*,5/2,6,6
74,208.309584291,2.2e-08,25347000.0,AA,3d,2D,5/2,4p,2P*,3/2,6,4
75,208.31188151,1.3e-07,99164000.0,AA,3p,2P*,3/2,4s,2S,1/2,4,2
76,208.31296323,4e-08,28166000.0,AA,3d,2D,3/2,4p,2P*,1/2,4,2
77,291.58411613,1.7e-07,58249000.0,AA,4p,2P*,1/2,6d,2D,3/2,2,4
78,291.5863429,3e-07,36125000.0,AA,4s,2S,1/2,6p,2P*,3/2,2,4
79,291.59277385,1.1e-07,9680300.0,AA,4p,2P*,1/2,6s,2S,1/2,2,2
80,291.5956824,3e-07,36124000.0,AA,4s,2S,1/2,6p,2P*,1/2,2,2
81,291.6124794,4e-07,97356000.0,AA,4d,2D,3/2,6f,2F*,5/2,4,6
82,291.61252631,1.7e-07,69880000.0,AA,4p,2P*,3/2,6d,2D,5/2,4,6
83,291.6155709,4e-07,763210.0,AA,4d,2D,3/2,6p,2P*,3/2,4,4
84,291.61563941,1.7e-07,11646000.0,AA,4p,2P*,3/2,6d,2D,3/2,4,4
85,291.62141385,1.7e-07,107280000.0,AA,4f,2F*,5/2,6g,2G,7/2,6,8
86,291.6214298,4e-07,104300000.0,AA,4d,2D,5/2,6f,2F*,7/2,6,8
87,291.6229618,3e-07,82777.0,AA,4f,2F*,5/2,6d,2D,5/2,6,6
88,291.6229864,4e-07,6953300.0,AA,4d,2D,5/2,6f,2F*,5/2,6,6
89,291.62429901,9e-08,19357000.0,AA,4p,2P*,3/2,6s,2S,1/2,4,2
90,291.6249123,4e-07,7632500.0,AA,4d,2D,3/2,6p,2P*,1/2,4,2
91,291.62573337,1.7e-07,111250000.0,AA,4f,2F*,7/2,6g,2G,9/2,8,10
92,291.6260751,3e-07,1738400.0,AA,4f,2F*,5/2,6d,2D,3/2,6,4
93,291.6260782,4e-07,6868500.0,AA,4d,2D,5/2,6p,2P*,3/2,6,4
94,291.62666731,1.7e-07,3973100.0,AA,4f,2F*,7/2,6g,2G,7/2,8,8
95,291.6282153,3e-07,1655500.0,AA,4f,2F*,7/2,6d,2D,5/2,8,6
96,449.9486903,6e-07,100390000.0,AA,4p,2P*,1/2,5d,2D,3/2,2,4
97,449.953966,6e-07,59770000.0,AA,4s,2S,1/2,5p,2P*,3/2,2,4
98,449.9843189,4e-07,17432000.0,AA,4p,2P*,1/2,5s,2S,1/2,2,2
99,449.9923982,6e-07,59760000.0,AA,4s,2S,1/2,5p,2P*,1/2,2,2
100,450.0108454,1e-06,195510000.0,AA,4d,2D,3/2,5f,2F*,5/2,4,6
101,450.0109476,6e-07,120430000.0,AA,4p,2P*,3/2,5d,2D,5/2,4,6
102,450.0235685,1e-06,1527400.0,AA,4d,2D,3/2,5p,2P*,3/2,4,4
103,450.0237584,6e-07,20070000.0,AA,4p,2P*,3/2,5d,2D,3/2,4,4
104,450.029429,4e-07,332460000.0,AA,4f,2F*,5/2,5g,2G,7/2,6,8
105,450.0294621,1e-06,209450000.0,AA,4d,2D,5/2,5f,2F*,7/2,6,8
106,450.0357992,8e-07,194800.0,AA,4f,2F*,5/2,5d,2D,5/2,6,6
107,450.0358675,1e-06,13963000.0,AA,4d,2D,5/2,5f,2F*,5/2,6,6
108,450.0380966,4e-07,344760000.0,AA,4f,2F*,7/2,5g,2G,9/2,8,10
109,450.04194,4e-07,12313000.0,AA,4f,2F*,7/2,5g,2G,7/2,8,8
110,450.0483106,8e-07,3895700.0,AA,4f,2F*,7/2,5d,2D,5/2,8,6
111,450.048592,1e-06,13745000.0,AA,4d,2D,5/2,5p,2P*,3/2,6,4
112,450.0486114,8e-07,4090600.0,AA,4f,2F*,5/2,5d,2D,3/2,6,4
113,450.0593989,4e-07,34851000.0,AA,4p,2P*,3/2,5s,2S,1/2,4,2
114,450.0620126,1e-06,15273000.0,AA,4d,2D,3/2,5p,2P*,1/2,4,2
115,828.3247617,1.4e-06,30370000.0,AA,5p,2P*,1/2,6d,2D,3/2,2,4
116,828.333912,1.4e-06,19698000.0,AA,5s,2S,1/2,6p,2P*,3/2,2,4
117,828.3946333,8e-07,7246400.0,AA,5p,2P*,1/2,6s,2S,1/2,2,2
118,828.4092866,1.4e-06,19694000.0,AA,5s,2S,1/2,6p,2P*,1/2,2,2
119,828.4297184,2.1e-06,54714000.0,AA,5d,2D,3/2,6f,2F*,5/2,4,6
120,828.4298912,1.4e-06,36432000.0,AA,5p,2P*,3/2,6d,2D,5/2,4,6
121,828.4546691,2.1e-06,777510.0,AA,5d,2D,3/2,6p,2P*,3/2,4,4
122,828.4550159,1.4e-06,6071600.0,AA,5p,2P*,3/2,6d,2D,3/2,4,4
123,828.4605173,1.4e-06,86411000.0,AA,5f,2F*,5/2,6g,2G,7/2,6,8
124,828.4605713,2.1e-06,58616000.0,AA,5d,2D,5/2,6f,2F*,7/2,6,8
125,828.4730101,2.1e-06,150810.0,AA,5f,2F*,5/2,6d,2D,5/2,6,6
126,828.4731344,2.1e-06,3907600.0,AA,5d,2D,5/2,6f,2F*,5/2,6,6
127,828.4746614,3e-07,130340000.0,AA,5g,2G,7/2,6h,2H*,9/2,8,10
128,828.4746875,1.4e-06,89607000.0,AA,5f,2F*,7/2,6g,2G,9/2,8,10
129,828.4821598,8e-07,25601.0,AA,5g,2G,7/2,6f,2F*,7/2,8,8
130,828.482225,1.4e-06,3200200.0,AA,5f,2F*,7/2,6g,2G,7/2,8,8
131,828.4826612,3e-07,133300000.0,AA,5g,2G,9/2,6h,2H*,11/2,10,12
132,828.4876864,3e-07,2962100.0,AA,5g,2G,9/2,6h,2H*,9/2,10,10
133,828.4947184,2.1e-06,3016100.0,AA,5f,2F*,7/2,6d,2D,5/2,8,6
134,828.4947236,8e-07,921640.0,AA,5g,2G,7/2,6f,2F*,5/2,8,6
135,828.4951851,8e-07,896030.0,AA,5g,2G,9/2,6f,2F*,7/2,10,8
136,828.4980877,2.1e-06,6996900.0,AA,5d,2D,5/2,6p,2P*,3/2,6,4
137,828.4981374,2.1e-06,3167000.0,AA,5f,2F*,5/2,6d,2D,3/2,6,4
138,828.5249095,7e-07,14488000.0,AA,5p,2P*,3/2,6s,2S,1/2,4,2
139,828.5300657,2.1e-06,7774200.0,AA,5d,2D,3/2,6p,2P*,1/2,4,2
